game_id,game_date,home_team,away_team,samsung_elo,opponent_elo,rest_diff,samsung_form,opponent_form,samsung_pythagorean,opponent_pythagorean,samsung_win
20220402SSKT0,2022-04-02,KT,삼성,1500.0,1500.0,0,0.5,0.5,0.5,0.5,0
20220403SSKT0,2022-04-03,KT,삼성,1490.0,1510.0,0,0.0,1.0,0.058823529411764705,0.9411764705882353,1
20220405SSOB0,2022-04-05,두산,삼성,1500.5750112778453,1519.4249887221547,0,0.5,1.0,0.3769230769230769,0.7538461538461538,1
20220406SSOB0,2022-04-06,두산,삼성,1511.1170255281338,1508.8829744718662,0,0.6666666666666666,0.6666666666666666,0.46301369863013697,0.5901639344262295,1
20220407SSOB0,2022-04-07,두산,삼성,1521.0527252560867,1498.9472747439133,0,0.75,0.5,0.64,0.36899563318777295,0
20220408WOSS0,2022-04-08,삼성,키움,1510.417336384919,1473.7865438475876,0,0.6,0.2,0.5863039399624765,0.15181932245922208,0
20220409WOSS0,2022-04-09,삼성,키움,1499.3669066949174,1484.8369735375893,0,0.5,0.3333333333333333,0.563570784490532,0.17560975609756097,0
20220410WOSS0,2022-04-10,삼성,키움,1488.9489452381436,1495.254934994363,0,0.42857142857142855,0.42857142857142855,0.5,0.24972253052164262,0
20220412HHSS0,2022-04-12,삼성,한화,1479.1304262855026,1464.4679262565148,0,0.375,0.25,0.4836109618484686,0.41857981847303793,1
20220413HHSS0,2022-04-13,삼성,한화,1488.7086559738814,1454.889696568136,0,0.4444444444444444,0.2222222222222222,0.5158690176322418,0.3902439024390244,1
20220414HHSS0,2022-04-14,삼성,한화,1497.7383307014238,1445.8600218405936,0,0.5,0.2,0.654054054054054,0.2757377049180328,1
20220415SSSK0,2022-04-15,SSG,삼성,1506.2561520569536,1578.08514778203,0,0.6,0.9,0.6882158310002545,0.8400444321021938,0
20220416SSSK0,2022-04-16,SSG,삼성,1498.2945970129792,1586.0467028260043,0,0.5,0.9,0.6282527881040892,0.8620689655172413,0
20220417SSSK0,2022-04-17,SSG,삼성,1490.7679348746715,1593.573364964312,0,0.4,0.9,0.5794912559618441,0.8656597774244833,0
20220419SSNC0,2022-04-19,NC,삼성,1483.6434756699775,1435.50223444043,0,0.3,0.2,0.5534181240063593,0.22075815933509021,0
20220420SSNC0,2022-04-20,NC,삼성,1472.266659421719,1446.8790506886885,0,0.3,0.3,0.5228887594641817,0.2832065535400819,0
20220421SSNC0,2022-04-21,NC,삼성,1461.5372430649647,1457.6084670454427,0,0.3,0.3,0.5,0.3107328738219159,1
20220422LTSS0,2022-04-22,삼성,롯데,1471.4241686208,1488.0563058979337,0,0.4,0.5,0.5475113122171946,0.4838751625487646,0
20220423LTSS0,2022-04-23,삼성,롯데,1461.9025146686686,1497.577959850065,0,0.4,0.5,0.506369168356998,0.5298241709325617,0
20220424LTSS0,2022-04-24,삼성,롯데,1452.925742866931,1506.5547316518027,0,0.3,0.6,0.4938652615732029,0.542778569973518,0
20220426LGSS0,2022-04-26,삼성,LG,1444.4571659709807,1520.6999005230148,0,0.2,0.5,0.47702363660372377,0.6126278345931525,1
20220427LGSS0,2022-04-27,삼성,LG,1456.617048794662,1508.5400176993335,0,0.2,0.4,0.49459475252731844,0.5868351682431384,0
20220428LGSS0,2022-04-28,삼성,LG,1448.1004845957823,1517.0565818982132,0,0.2,0.5,0.4584055459272097,0.6237910342393223,0
20220429SSHT0,2022-04-29,KIA,삼성,1440.059544816776,1485.1262042043206,0,0.2,0.5,0.4506160766673186,0.5267188660913299,1
